	position in rank using contigs	position in rank with raw reads	counts - contigs	counts - raw reads
CPSE	932	1099	3801	917
WHIA	933	1114	3799	904
GLNQ	934	498	3792	3859
PROC	935	1264	3791	731
DACA1	936	1628	3784	424
MRAZ	937	610	3783	2712
CYSE	938	614	3770	2654
GPSA	938	770	3770	1856
YQEK	940	1406	3766	587
PPSA	941	947	3760	1236
TGT	942	420	3759	4936
PFLD	943	489	3757	3937
BCOA_0505	944	6027	3756	21
TILS	945	2038	3755	250
YJJK	946	465	3748	4165
RNE	947	893	3745	1414
RBSR	948	1519	3736	502
AHNAK	949	412	3732	5046
LBL_2628	950	5395	3731	27
FUCO	951	468	3729	4128
PLPD	952	1800	3718	333
MURI	953	864	3708	1509
DUSB	954	865	3680	1506
YUT	955	3087	3661	94
GRDC	956	534	3652	3449
MANA	957	737	3643	1999
FRDB	958	814	3637	1669
MSRB	958	992	3637	1122
META	960	650	3631	2439
HSCC	961	1430	3624	569
PYRD	962	545	3623	3335
XFP	963	503	3603	3809
RECX	963	1611	3603	435
HISD	965	751	3602	1963
GGUA	966	561	3600	3145
YDEM	967	803	3590	1725
CCA	968	978	3587	1152
COMEC	969	3471	3578	71
AFUA	970	522	3567	3601
DXR	971	786	3562	1803
CDSA	972	1094	3553	924
FRX-2	973	525	3549	3549
RNPA	974	1143	3518	870
NAGC	975	1521	3509	501
RPMG	976	483	3507	4001
MMDA	976	1037	3507	1020
AGAB3	978	1004	3501	1089
EF0617	979	709	3497	2091
TRUA	980	1209	3494	793
PLSC	981	1138	3489	875
LPDA	981	2335	3489	183
ZMPC	983	8686	3484	0
CHEW	984	1448	3482	555
MNMG	985	539	3474	3384
SP_0913	985	1665	3474	403
SUA	987	1310	3470	679
NRDA	988	661	3464	2400
FUMA	989	474	3462	4073
CNA	989	5585	3462	25
LYTR	991	2110	3458	230
YBBC	991	2405	3458	170
NRDG	993	1016	3454	1068
PHES	994	501	3447	3841
DNAQ	994	1080	3447	947
YBIO	994	3170	3447	88
FTSY	997	593	3438	2870
CMK	998	1563	3435	475
FLIH	998	8686	3435	0
FTSW	1000	921	3412	1322
BMUL_3652	1000	2651	3412	133
WCAG	1002	592	3409	2879
HISC	1003	1064	3408	969
TATD	1004	956	3390	1213
FRDA	1005	792	3389	1779
RIBU	1005	1649	3389	413
PEPC	1007	877	3381	1477
KBL	1008	504	3379	3806
YHAM	1008	730	3379	2028
BGLA	1010	712	3359	2081
MCSA	1011	2203	3349	208
BAS3340	1012	8686	3343	0
VMRA	1013	1808	3333	330
LMRA	1014	1067	3329	967
MNAA	1015	779	3322	1827
NATB	1016	2355	3316	179
BL05383	1017	8686	3313	0
SCLAV_4481	1018	1251	3310	743
YGGG	1019	1387	3308	600
RPON	1020	2112	3299	229
HSLR	1021	2258	3296	197
ANSA	1022	1094	3287	924
LUXS	1023	588	3282	2907
PYRC	1023	884	3282	1430
AGUA	1025	1145	3274	867
PHOB	1026	1850	3235	315
DCM	1027	797	3232	1746
KDSD	1027	1871	3232	306
DPRA	1029	4199	3231	46
SMPB	1030	533	3226	3452
TTHE_0819	1031	557	3220	3200
LICB	1032	1061	3219	972
YQEV	1033	1044	3218	1006
SDHC	1034	2081	3214	238
VIOA	1035	695	3211	2166
GMK	1036	1134	3208	878
RPMD	1037	623	3204	2610
YPSC	1038	692	3203	2171
GPH	1039	2491	3188	156
MUTY	1040	1149	3184	862
AGAZ	1041	453	3175	4261
Y1676	1042	556	3159	3230
FDXA	1043	509	3156	3731
NORB	1044	1669	3154	401
PCNA	1045	1077	3149	953
PROB	1046	966	3146	1183
BRNQ	1047	4441	3139	41
CYSI	1048	1075	3130	958
FOLE	1049	1141	3126	871
PQQL	1050	1285	3124	704
HCAN_1026	1050	8686	3124	0
PYRB	1052	512	3109	3717
PEPQ	1053	1490	3102	523
LTG	1054	1417	3096	577
YEAO	1055	2011	3087	256
MUG	1056	1380	3083	604
HGDC	1057	918	3072	1328
DLTA	1058	1489	3063	524
NRDR	1059	653	3061	2433
BIOF	1060	940	3056	1259
SPPA	1061	1882	3055	301
PGLE	1062	731	3050	2024
MED	1063	1338	3044	648
SCLAV_3941	1064	711	3042	2082
SGLY_0529	1064	2660	3042	132
YEAZ	1066	1200	3040	804
INFA	1067	418	3026	4949
TONB	1068	8686	3022	0
YQEY	1069	1171	3017	833
RHAB	1070	1436	3014	564
CBIM	1071	1526	3002	496
RIMP	1072	1112	2995	906
WCFS	1073	1194	2994	812
HPT	1074	855	2993	1534
LCTP	1075	1238	2991	759
UPPS	1076	633	2988	2546
BMUL_3600	1077	853	2987	1543
HEMN	1077	1513	2987	506
ALDR	1079	724	2982	2054
KTRA	1080	1151	2976	861
HP1080	1081	2344	2971	182
PURL	1082	424	2967	4849
KDGK	1083	471	2966	4118
THYA	1084	532	2962	3457
DMBT1	1085	975	2959	1158
MM_0711	1085	8686	2959	0
BATE	1087	4600	2952	38
KAMA	1088	985	2951	1134
YDDW	1089	1794	2949	335
PRMC	1090	1638	2943	419
TDH	1091	874	2941	1484
YIDE	1092	1831	2937	321
OPPC	1093	763	2936	1895
DAPF	1094	969	2933	1180
HYPE	1095	2068	2927	242
PNBA	1096	1303	2922	684
YJBF	1097	1953	2918	278
RPMJ	1098	769	2908	1868
FABD	1099	1006	2904	1083
BCRA	1100	480	2899	4029
ABFA	1101	645	2889	2465
HEMD	1102	1026	2884	1034
PSEB	1103	651	2873	2438
YHBJ	1103	920	2873	1324
ARCD	1105	1281	2870	709
YCIB	1106	3509	2866	69
RSMG	1107	1461	2864	545
PRFA	1108	529	2860	3472
TRPH	1109	3965	2858	52
CARA	1110	636	2850	2534
GCDC	1110	1453	2850	552
CAT1	1112	1240	2849	758
NFO	1113	799	2848	1741
RBSK	1114	1602	2847	440
FABK	1115	815	2843	1667
YAAQ	1116	704	2841	2129
AMYY	1116	3931	2841	53
OPPB	1118	905	2838	1371
GCP	1119	582	2834	2973
MTNN	1120	1861	2812	311
TAGG	1121	1741	2806	363
SP_1798	1122	726	2799	2048
SPOIVA	1122	747	2799	1974
DTOX_0845	1124	980	2797	1150
PHEA	1124	1228	2797	769
MRAY	1126	790	2796	1788
VANR	1127	676	2776	2295
SERB	1128	1046	2769	1004
POLYMERASE	1129	8686	2761	0
ATPI	1130	798	2760	1744
RIMM	1131	2177	2758	215
ISPF	1132	900	2741	1387
RESA	1132	2147	2741	221
HISI	1134	915	2740	1342
YUGP	1135	822	2730	1651
PTH	1136	1086	2729	941
YWQG	1137	7463	2728	12
PYRK	1138	1233	2726	764
HOLA	1139	1889	2724	299
FTNA	1140	647	2723	2454
NUOF	1141	426	2721	4816
AMY	1142	1011	2716	1075
PG0188	1143	4390	2710	42
AAXC	1144	3488	2706	70
NANM	1145	8686	2681	0
GLCK	1146	1372	2680	613
RNFA	1147	667	2676	2350
CPS1D	1148	2011	2674	256
PORX	1149	1341	2664	642
YNBB	1150	552	2653	3266
NORV	1151	2473	2637	158
RECQ2	1152	2112	2636	229
SURE	1153	3111	2630	92
MAF3	1154	8686	2629	0
EHPGDH	1155	1606	2628	439
DPNA	1156	691	2626	2184
NEUB	1156	1175	2626	827
AROG	1158	587	2623	2912
HYDF	1159	1279	2617	713
YABO	1160	773	2612	1849
TRML	1161	759	2610	1920
RLMD	1162	1131	2599	886
CPDB	1162	1307	2599	681
FLHF	1164	3560	2593	67
RPSN	1165	917	2589	1332
ARAQ	1166	940	2587	1259
ALL2459	1167	2745	2586	123
CSSS	1168	2243	2585	199
BL00055	1169	8686	2583	0
MALZ	1170	795	2582	1759
CELA	1171	673	2581	2309
RBO	1172	638	2577	2528
YUFO	1172	700	2577	2143
MCE	1174	1331	2574	653
RUVB	1175	531	2570	3458
TRMB	1176	1030	2559	1031
PORAS_1052	1176	8686	2559	0
RSMI	1178	887	2557	1426
PURN	1179	883	2554	1431
HEMZ	1180	1602	2549	440
AROE	1181	1410	2547	585
THUA	1182	1448	2540	555
CAPA	1182	2135	2540	223
ECTB	1184	1385	2536	601
ARAP	1185	863	2534	1512
THRA	1186	1201	2525	801
SUSB	1187	938	2521	1266
AGA	1188	774	2520	1846
GRDD	1189	585	2518	2925
ERYC	1190	1107	2517	909
PGDA	1191	1967	2510	274
ARCA	1192	886	2505	1427
STP	1193	1490	2499	523
PCCB	1194	459	2493	4194
RECR	1195	678	2492	2288
CYNT	1195	1873	2492	305
GCVT	1197	1080	2491	947
GLPQ	1198	2468	2487	159
RUMA	1199	1045	2486	1005
SAA1	1200	761	2485	1911
NUOE	1201	682	2482	2232
LCD	1201	1000	2482	1093
AATB	1203	1300	2480	690
LEUD	1204	550	2477	3285
ASTA	1205	1673	2466	399
PGN_0055	1206	8175	2464	8
SACC	1207	897	2462	1397
OADB	1208	708	2453	2096
VICX	1209	1463	2448	544
MNME	1210	1304	2447	682
SNF	1211	1362	2441	624
VNCR	1212	899	2440	1388
BTUS_0114	1212	8686	2440	0
PUTP	1214	1063	2437	970
RPSZ	1215	387	2431	5513
PTSG	1216	658	2429	2410
NANE	1217	655	2426	2427
YEHM	1218	8686	2423	0
VANSB	1219	1838	2417	318
THIG	1220	990	2408	1125
SIPW	1221	6180	2406	20
AADK	1222	1231	2405	768
TDK	1223	1794	2403	335
YGFC	1224	6607	2398	17
AGAS	1225	646	2396	2457
IORB	1226	972	2393	1162
CAD	1226	1210	2393	788
AGP	1226	2049	2393	247
CTSR	1229	1085	2387	944
HSDS	1230	1211	2384	786
MIP	1231	916	2381	1336
CP_1013	1232	1721	2376	370
RIBF	1232	2234	2376	200
YOCR	1234	832	2375	1609
AROA	1235	1746	2373	359
NADB	1236	640	2368	2525
WCHF	1236	1304	2368	682
AMID	1238	1018	2360	1062
SP_0885	1239	806	2353	1711
PEDSA_0567	1240	2006	2348	258
YJGF	1241	2234	2345	200
MALF	1242	1167	2340	836
MUC2	1243	703	2339	2134
APOB	1244	630	2337	2563
RSSA	1245	2087	2332	236
COMEB	1246	683	2329	2229
YQHQ	1247	1205	2328	797
YTFP	1248	1356	2316	632
YFDH	1249	872	2313	1486
RSMD	1249	1781	2313	340
SBCC	1251	1543	2309	486
YFIH	1252	2029	2305	253
VICK	1253	1531	2304	491
HDRA	1254	563	2303	3136
PORA	1254	810	2303	1708
MT3467	1256	2881	2299	110
NUOH	1257	907	2294	1366
CG3417	1258	588	2288	2907
BIOA	1258	1006	2288	1083
BL00878	1258	8686	2288	0
YTFT	1261	931	2285	1292
VP1938	1261	8686	2285	0
ACD	1263	794	2274	1764
YPDP	1264	2451	2271	162
LSRF	1265	756	2269	1948
TRUB	1266	1041	2253	1010
THEWI_1973	1266	1057	2253	982
DHAK	1268	846	2252	1557
DPAL	1269	584	2246	2945
MELA	1269	713	2246	2078
MAZG	1271	1300	2242	690
RLMB	1272	823	2241	1647
ESTA	1273	1630	2235	423
GLMU	1274	750	2222	1966
LYTB	1275	1948	2221	279
RNZ	1276	869	2211	1496
PSD	1277	2029	2199	253
DIVIVA	1278	1620	2197	432
ADDA	1279	1655	2191	411
MELS_0665	1280	707	2188	2099
YTLA	1281	913	2187	1345
NARB	1282	1234	2180	763
GATB	1283	749	2171	1971
FLHG	1283	1579	2171	455
RTCB	1285	985	2162	1134
RNFG	1286	1994	2160	264
GCVPB	1287	962	2159	1192
RNHA	1288	958	2153	1202
SSTT	1289	1013	2151	1071
SSNA	1290	698	2149	2159
PURE	1291	816	2141	1663
COMF	1292	6433	2136	18
GALU	1293	1069	2134	963
CSAB	1294	2252	2129	198
SDPI	1295	4902	2124	33
KINC	1296	4040	2121	50
VGRG2	1297	3411	2116	74
WECG	1298	2038	2115	250
PSEC	1299	1418	2114	576
PSPC	1300	2258	2108	197
STERM_0816	1300	7103	2108	14
FKBH	1302	1936	2107	284
PILB	1303	1496	2101	517
SP_1797	1304	838	2098	1584
AGUB	1304	876	2098	1480
HISK	1306	1665	2097	403
MOP	1307	693	2096	2168
MENA	1308	4390	2095	42
YLME	1309	1378	2092	605
MEPA	1310	1055	2088	983
ATU2672	1311	1788	2085	336
THRH	1312	596	2081	2820
YFKN	1312	3657	2081	63
SLEC	1314	862	2079	1514
LPXD	1314	2135	2079	223
ARAH	1316	1402	2078	588
HPPA	1317	717	2075	2070
MALG	1317	1153	2075	859
REP	1319	4291	2074	44
FOLA	1320	1652	2073	412
DPM1	1321	1005	2067	1085
ADDB	1322	1737	2065	364
SP_1232	1323	1663	2062	404
HISH	1324	1277	2059	714
CBPE	1325	3731	2058	60
CBC4_0930	1326	1121	2055	900
NTPG	1326	1195	2055	809
PLAV_1179	1328	1984	2054	266
TLYC	1328	2243	2054	199
COBB	1330	1632	2053	422
SP_0482	1331	2409	2034	169
YKOG	1332	1003	2026	1091
PEPS	1333	1047	2023	1003
DLTB	1333	1690	2023	392
YLBM	1335	2335	2022	183
TAGH	1336	988	2015	1128
NADD	1337	2567	2014	144
NIRC	1337	3059	2014	96
SCLAV_4834	1339	911	2013	1348
CAP5H	1340	2234	2010	200
NEUA	1341	2849	2007	113
SCFA	1342	812	2004	1698
PILD	1343	2545	2003	147
PHEB	1344	1292	1999	697
APPB	1345	1782	1997	339
SP_1731	1346	8686	1995	0
CAS3	1347	2906	1991	107
HSLO	1348	1289	1987	701
ISPA	1349	976	1982	1154
Y2124	1350	7989	1981	9
COTH	1351	8686	1976	0
MCCF	1352	6769	1974	16
SLGD_00084	1353	1593	1971	448
CARD	1354	2274	1968	195
LICT	1355	3900	1964	54
MGT	1356	1800	1959	333
RFFA	1357	754	1958	1952
LIVH	1357	896	1958	1398
COBD	1359	1527	1957	493
CYCMA_0202	1360	2717	1956	126
NOSY2	1361	2856	1955	112
PHOH2	1362	688	1954	2205
BL01066	1363	3096	1948	93
YLBJ	1364	3931	1947	53
PCRA	1365	1439	1943	561
LSPA	1366	2280	1942	194
ACDA2	1367	1864	1936	309
YCHM	1368	1144	1929	869
MIAA	1369	1224	1927	771
QUEF	1370	870	1926	1491
GFO_1229	1370	3033	1926	98
YAET	1372	1558	1925	477
RHAA	1373	635	1911	2540
UUP	1374	851	1910	1545
YQFO	1375	2211	1909	206
NPDA	1376	742	1907	1984
YQFF	1376	2381	1907	174
YVAA	1378	1270	1903	723
ADE	1379	990	1902	1125
PERMEASE	1380	2629	1901	135
PEPV	1381	597	1900	2818
HISA	1382	2293	1899	191
MSBA	1382	2326	1899	184
GCVPA	1384	1347	1896	639
BMUL_2900	1384	1669	1896	401
YJFJ	1386	693	1895	2168
PSSA	1387	1808	1892	330
COX1	1388	344	1890	6587
PGSA	1389	908	1888	1364
CORB	1390	1304	1884	682
YEII	1391	1818	1883	326
RDGB	1392	858	1882	1522
PRDB	1393	581	1875	2981
YEEA	1394	1327	1874	657
CHEY34H-2	1395	1669	1873	401
APBE	1395	2311	1873	188
SPOIVB	1397	1243	1865	754
BMUL_0944	1398	1455	1858	548
MAF	1398	1959	1858	276
HYDC	1400	972	1857	1162
YFGQ	1401	2234	1854	200
POTD	1402	1499	1851	516
YBAK	1403	1335	1849	649
FRVX	1404	1821	1843	325
CORA	1405	1221	1838	773
PPX	1406	2567	1836	144
PHYA	1407	2258	1835	197
SP_0304	1408	8686	1834	0
GSIB	1409	1933	1831	285
YVQK	1410	2234	1828	200
LOLD	1411	1886	1827	300
NIFU	1412	599	1826	2788
BMUL_0472	1413	939	1824	1260
NADC	1414	1126	1823	892
DACB	1415	1579	1821	455
NADA	1416	1123	1818	899
COMM	1416	1396	1818	591
YDCC	1416	1886	1818	300
LIVM	1419	1021	1814	1041
CAP5L	1420	1396	1813	591
RLMH	1421	1830	1812	322
AFLV_2435	1422	1972	1799	271
CBIQ	1422	3531	1799	68
BA_0233	1424	2033	1781	252
FTSQ	1424	3872	1781	55
PYC	1426	923	1780	1319
KAL	1426	1523	1780	499
AROK	1426	1976	1780	269
ACCD	1429	979	1774	1151
CBIK	1429	1592	1774	449
UMUC	1431	849	1773	1551
BL01965	1432	1191	1769	813
EGSA	1432	1813	1769	328
SP_1634	1434	2918	1766	106
HYDG	1435	662	1765	2392
YTRA	1436	1501	1764	514
RMLC	1437	1496	1762	517
MUC22	1438	997	1761	1105
ARGR	1438	2392	1761	172
PLUT_0860	1440	1401	1760	589
ALAR	1441	719	1759	2062
DAM	1441	1035	1759	1025
APF1	1443	961	1758	1194
NDHF	1443	1599	1758	441
GNTR	1445	1421	1757	575
NARG	1446	914	1756	1343
MANB2	1446	1356	1756	632
POTA	1448	660	1755	2403
HISG	1449	940	1754	1259
PDUP	1450	734	1749	2012
BL00575	1450	3731	1749	60
RPIR	1452	1611	1748	435
HISF	1453	784	1747	1807
MSME	1453	1277	1747	714
IGA	1455	4073	1746	49
TRMD	1456	813	1745	1694
PACL	1457	898	1742	1391
YURO	1458	2110	1740	230
BMUL_3599	1459	681	1738	2240
YPJD	1460	2820	1730	116
COTJB	1461	2531	1726	149
SMU_1348C	1462	866	1717	1498
PEZA	1462	3373	1717	76
WAPA	1464	2975	1712	102
NUOB	1465	1105	1708	911
GCVH	1466	1634	1704	421
XYNB	1467	1070	1700	962
CWLD	1468	3471	1697	71
GANA	1469	922	1696	1321
CLPL	1470	670	1695	2324
HUTH	1471	781	1694	1824
CBH	1472	2258	1693	197
YDJJ	1473	2491	1692	156
CLCA4	1474	777	1691	1832
CLCAR_0605	1475	2401	1689	171
CAFA	1476	3578	1687	66
NUOA	1477	1714	1686	375
RFBJ	1478	1034	1684	1026
RIBD	1478	1588	1684	451
TADA	1480	1285	1683	704
YKWD	1481	3708	1681	61
YAPH	1482	8686	1679	0
YDEA	1483	1853	1677	313
HPK1	1484	1486	1676	525
PDUC	1485	1072	1674	961
FLDA	1486	3250	1672	83
PANB	1487	970	1670	1179
RHAS	1488	1599	1661	441
RHSD	1489	4073	1660	49
RLML	1490	2286	1659	193
LPXC	1491	1380	1657	604
AGRB	1491	8686	1657	0
PKNA	1493	6312	1655	19
GLUQ	1494	2491	1653	156
URAA	1495	1078	1652	948
PTSP	1495	1321	1652	666
ATOC	1497	8686	1647	0
YBDN	1498	720	1646	2060
YCLG	1499	7629	1641	11
MDLA	1500	1461	1639	545
QUEC	1501	1432	1637	567
Z2131	1502	3509	1633	69
LIVG	1503	765	1632	1885
NATA	1504	1112	1629	906
FOLK	1504	2184	1629	213
METN	1506	1186	1626	820
PROWX	1506	2203	1626	208
YUFP	1508	1720	1624	371
SCLAV_5418	1508	7103	1624	14
RRMJ	1510	1048	1620	997
RUMAL_0348	1511	1074	1619	959
SP_2225	1512	2065	1616	243
SCLAV_2518	1513	3900	1614	54
RUVA	1514	1777	1612	341
CHBF	1515	783	1610	1812
OPCP	1515	4160	1610	47
LICD	1517	2158	1603	219
RLMI	1518	925	1602	1316
YLBE	1519	747	1601	1974
CLIM_0806	1519	8686	1601	0
PGAA	1521	3488	1597	70
UGPB	1522	1826	1596	323
MINC	1522	3059	1596	96
SPOVT	1524	1458	1593	546
RAGA	1525	6312	1591	19
FNOD_1353	1526	964	1588	1190
SFP	1527	5072	1587	31
RUVC	1528	1499	1584	516
ISYNA1	1529	457	1583	4204
GLCD	1530	935	1582	1280
BMUL_5605	1530	2651	1582	133
LIVF	1532	776	1581	1844
AATA	1533	1540	1575	488
YWFO	1534	2830	1565	115
UGPQ	1535	2234	1563	200
YVNB	1536	8686	1560	0
SG1639	1537	4249	1559	45
OCAR_6413	1538	8686	1558	0
HYAB	1539	828	1555	1637
MRAY2	1540	4441	1554	41
MLTD	1541	2629	1552	135
PFLX	1541	2684	1552	129
SUV3	1543	2987	1551	101
SCLAV_5416	1544	8686	1550	0
RV1313C	1545	1450	1549	554
HISB	1546	1212	1543	785
YFBK	1546	1582	1543	454
LSRK	1548	1129	1542	888
BMUL_3731	1549	2745	1536	123
APPD	1550	1106	1535	910
BMUL_5603	1551	1366	1533	619
APGM	1552	1203	1531	798
GLDA	1553	1352	1530	634
SASC	1554	705	1526	2112
TTCA	1555	1127	1525	891
CSSR	1555	1509	1525	507
GLNP	1557	1166	1521	837
METTU_1963	1558	1284	1520	705
BT4646	1558	6950	1520	15
DIND	1560	1649	1518	413
SFUM_3007	1560	8686	1518	0
THIH	1562	1438	1517	562
YUZA	1563	1418	1516	576
NT5E	1564	1994	1514	264
RFBF	1565	928	1513	1303
YLXM	1565	1240	1513	758
YGHZ	1567	1134	1509	878
ARAR	1568	2142	1508	222
YAAO	1569	2252	1507	198
CSPB	1570	1667	1498	402
HALSA_0154	1571	1177	1496	826
TAGE	1572	6433	1495	18
CPMA	1573	1053	1492	986
PDXK	1574	1953	1490	278
SUHB	1575	2023	1480	254
HLY	1576	2738	1478	124
GCA	1577	995	1475	1107
CBIO	1578	2497	1471	155
YJCD	1579	1969	1470	273
WS0013	1580	1362	1468	624
FRUA	1581	1028	1467	1033
ACTG1	1581	1991	1467	265
MPR	1583	8686	1466	0
CUTC	1584	2405	1461	170
MAA	1585	824	1456	1646
DSBD	1585	1570	1456	466
KDPE	1587	987	1455	1131
ULAG	1588	722	1454	2058
KDUI	1589	752	1453	1962
FDHA	1590	1895	1452	298
RGPC	1590	2987	1452	101
CLPA	1592	1070	1450	962
ENC_23920	1593	5585	1446	25
PURT	1594	1473	1441	537
PMXD	1594	8686	1441	0
YEHL	1596	1267	1438	728
CUS_4253	1597	1959	1435	276
UBB	1598	2203	1433	208
PFPI	1599	1247	1430	746
YHAI	1599	1864	1430	309
CPS3B	1599	8686	1430	0
SPAR	1602	1173	1425	830
NAGZ	1603	1929	1421	287
RNHB	1604	1335	1420	649
YMFH	1605	1238	1419	759
BMUL_5920	1606	2482	1418	157
TRMK	1607	2311	1415	188
RFBH	1608	706	1414	2108
YERC	1609	948	1409	1234
TERY	1609	1608	1409	438
PIGR	1611	959	1405	1201
FUCT	1612	7814	1404	10
YQEG	1613	1568	1402	469
RFBN	1613	2585	1402	142
PLCR	1615	3301	1400	80
RNHC	1616	977	1399	1153
YMDB	1617	1247	1398	746
MACB	1618	1431	1394	568
PBPX	1619	3965	1392	52
GLOA	1620	982	1387	1137
AZLC	1620	1991	1387	265
OA238_1191	1622	1615	1385	434
DPPC	1623	1482	1384	529
VANZ	1623	8686	1384	0
BLAR	1625	2559	1381	145
SCLAV_4801	1626	8686	1379	0
APPF	1627	996	1378	1106
SCLAV_4943	1627	1088	1378	936
NQRA	1629	2962	1377	103
SP_1767	1630	6769	1375	16
FOLP	1631	1942	1370	281
TERA	1632	2575	1369	143
RBSC	1633	1151	1364	861
CELAL_0017	1633	8686	1364	0
CDR	1635	882	1363	1435
OCAR_6752	1635	1161	1363	848
ARAL	1637	2703	1361	128
MRAW	1638	1110	1359	908
UREI	1639	2759	1358	122
FOCA	1640	2135	1357	223
SP_1282	1640	3657	1357	63
GYY_09435	1642	8686	1355	0
KDTA	1643	2545	1350	147
SGAT	1644	1067	1348	967
MERA	1645	891	1347	1418
MEGL	1645	1315	1347	671
FUCK	1647	1172	1344	832
PARA	1648	8686	1342	0
YQGX	1649	2595	1341	141
RPOZ	1650	2531	1339	149
FLIQ	1651	2684	1338	129
MT3820	1652	2184	1337	213
HOXA	1653	2431	1336	165
GUFA	1654	1290	1335	700
PTBA	1654	4249	1335	45
FRUR	1656	4073	1334	49
BTUS_1671	1657	859	1333	1520
BL01161	1658	1024	1332	1037
KDD	1658	1594	1332	447
CEACAM1	1660	968	1328	1182
LPQL	1661	8686	1326	0
BGAB	1662	1221	1321	773
YTQA	1663	1707	1320	379
RIMI	1664	4249	1316	45
MMDB	1665	1025	1313	1036
TAGO	1665	1402	1313	588
ESSC	1667	2849	1312	113
UXAB	1668	890	1309	1419
NHAP	1669	3708	1308	61
TAGD	1670	1114	1305	904
PDUL	1671	1354	1302	633
MIDI_00056	1672	1783	1301	338
CAS5D	1672	1924	1301	288
GLUP	1674	1475	1299	535
ECFA1	1675	802	1297	1731
NDHI	1676	5395	1296	27
FLIB	1677	8686	1293	0
PLSY	1678	1099	1292	917
IDSA	1678	2133	1292	224
YIGZ	1680	1218	1290	780
DESAF_0183	1680	1347	1290	639
CPSM	1680	2639	1290	134
SP_1071	1683	943	1289	1255
PBG	1684	2127	1288	225
KDSA	1685	1236	1287	761
PANC	1686	1649	1283	413
RNC	1687	1215	1282	783
DICA	1687	2604	1282	140
MUTX	1689	760	1280	1916
MVIN	1690	3250	1278	83
GATA	1691	892	1276	1415
NNR	1691	1661	1276	405
LTAE	1693	1463	1275	544
TERZ	1693	2229	1275	202
ALGC	1695	1527	1274	493
YGHG	1695	8686	1274	0
YITS	1697	2164	1268	218
ABCB	1698	1307	1267	681
BAS1613	1698	3073	1267	95
CKL_1845	1700	8686	1265	0
GHRA	1701	3250	1264	83
WECC	1702	1002	1262	1092
KAMD	1702	1093	1262	928
DARB	1704	8686	1261	0
MACB2	1705	1055	1260	983
YDEC	1705	1984	1260	266
YLQF	1707	936	1258	1278
DINF	1708	1910	1256	292
TOCE_1196	1709	1758	1255	351
SDAAB	1709	1939	1255	283
RFBG	1711	1092	1253	929
WBYL	1712	4199	1251	46
EPSF	1712	7814	1251	10
GLDE	1714	3931	1249	53
LRTA	1715	910	1246	1352
YJDF	1716	827	1245	1640
YAAA	1717	1623	1243	429
VEX3	1718	3999	1242	51
MERR	1719	6950	1239	15
TEHB	1720	3141	1238	90
SPOVK	1721	1596	1229	446
HLDE	1721	3424	1229	73
ECFA2	1723	847	1226	1555
XDHB	1724	927	1223	1309
HTH_1030	1725	2791	1222	119
TRCS	1725	7283	1222	13
FUCA2	1727	1117	1219	902
DAGK	1727	2830	1219	115
CYSN	1729	1563	1217	475
IOLE	1730	1378	1214	605
CPS2I	1730	8686	1214	0
PLEC	1732	875	1212	1482
YBEY	1732	1484	1212	526
EXUT	1734	1504	1209	512
CPIN_3686	1735	1467	1208	543
CA4	1736	1155	1207	855
CYNR	1737	7814	1206	10
CLCAR_1091	1738	2804	1205	118
MAPA	1739	1240	1204	758
PSUG	1740	1029	1202	1032
PFKB	1740	1788	1202	336
AGRC	1742	8686	1197	0
NPLT	1743	1341	1195	642
CPDA	1744	1396	1193	591
DEOA	1745	1469	1192	541
CKL_1914	1746	1936	1191	284
BL05165	1747	2081	1181	238
FDNG	1748	1125	1180	894
CITE1	1748	2270	1180	196
SPEB	1750	2464	1177	160
YAGF	1751	788	1175	1793
PSEH	1751	1283	1175	706
PATB	1751	1501	1175	514
EPIB	1754	8686	1174	0
RFBC	1755	741	1173	1989
REGX3	1756	818	1172	1662
DRAG	1757	6769	1171	16
SP_1358	1758	1555	1167	478
CYCB	1759	8686	1165	0
VORA	1760	1078	1164	948
RUVX	1761	1288	1160	702
YABR	1761	1734	1160	365
ACTB	1761	2018	1160	255
COXE	1764	1634	1159	421
DTD	1765	1535	1154	490
BGLS	1766	1051	1151	988
TRSE	1767	739	1148	1995
ILVI	1767	974	1148	1160
YKOS	1767	6180	1148	20
MTLD	1770	3424	1146	73
YIEL	1771	1805	1144	332
YAEB	1771	2414	1144	168
CUTS	1773	757	1143	1924
LPCA	1774	2223	1137	204
SP_0629	1774	3208	1137	85
MALK	1776	1022	1135	1039
YEEN	1777	1133	1134	880
P4HB	1777	3033	1134	98
YSDA	1779	4291	1133	44
MRCA	1780	2660	1132	132
HLA-B	1781	859	1131	1520
MOPB	1781	8467	1131	6
SCPA	1783	1473	1130	537
FTH1	1784	1098	1129	918
HISZ	1784	1383	1129	603
YTLD	1786	1677	1126	397
SPTS	1787	2087	1125	236
DEXB	1788	1009	1124	1080
EBA2484	1788	1873	1124	305
CHEW2	1790	5148	1123	30
KRT8	1791	951	1122	1228
CHB	1791	2289	1122	192
CDPW8_0142	1793	8686	1121	0
MRED	1794	2196	1117	210
RHLE	1795	1514	1116	505
PHAB	1795	2011	1116	256
KEFF	1797	1119	1114	901
TXNIP	1797	1679	1114	396
XYL31A	1799	1302	1111	685
SOV	1800	4341	1107	43
